name,address,phone,email,doctors,url
Belmont Medical Centre,3 Williamson Avenue Belmont Auckland 0622,(09) 445 1215,admin@belmontmed.co.nz,Dr Joanna Hopkins; Dr Nawar Mansoor; Dr Jennifer Waddell,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/belmont-medical-centre/
Albany Family Medical Centre,368 Albany Highway Albany North Shore 0632,(09) 415 8959,reception@albanydocs.co.nz,Dr Grace Beshara; Dr Stephane Fraize; Dr Lee-Chen Gan; Dr John Kyle; Dr Harry Martin; Dr John McGwynne; Dr Nausheen Shaikh,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/albany-family-medical-centre/
Forrest Hill Family Medical Centre,1/1 Grenada Avenue Forrest Hill Auckland 0620,(09) 410 5411,forresthillmc@xtra.co.nz,Dr Shirley Ren; Dr Susan Smith; Dr Kristine van der Beek,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/forrest-hill-family-medical-centre/
The Doctors Fred Thomas,2 Fred Thomas Drive Takapuna Auckland 0622,(09) 972 9020,info@fthealth.co.nz,Dr Oliver Allfree; Dr Emma Bower; Dr Anna (Jing) Chen; Dr Jonathan Coleman; Dr Lauren Gowland; Dr Miriam Jobson; Dr Veronica Lamplough; Dr Shelley Lichter; Dr Gillian Maguire; Dr Alister Murray; Dr Jeong Ok; Dr Nehal Patel,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-doctors-fred-thomas/
Coast To Coast Health Care,"220 Rodney Street, Wellsford",(09) 423 8086,Email not found,Dr Stephen Adams; Dr Neil Anderson; Dr Douglas Baird; Dr Mark Denekamp; Dr Brian Dressel; Dr Glenn Edwards; Dr Paul Fur; Dr Thomas Kelly; Dr Sue Loughlin; Dr Tim Malloy; Dr James Millar; Dr Richard Mules; Dr Stuart Norrie; Dr Vijayalakshmi Rajakrishnan; Dr Anne Scott; Dr Carolyn Smale; Dr Anthoinet Top; Dr Albert Van Niekerk,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/coast-to-coast-health-care/
Kowhai Clinic,424 Glenfield Road Glenfield North Shore City 0629,(09) 444 2098,reception@kowhaiclinic.co.nz,Dr Shujaullah Kamali,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/kowhai-clinic/
Stanmore Bay Medical,570 Whangaparāoa Road Stanmore Bay Whangaparāoa Auckland 0932,(09) 424 3772,reception@stanmorebaymedical.co.nz,Dr Suzan Al-Alawi; Dr Scarlett Pulham; Dr Michael Uren-Phillips,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/stanmore-bay-medical/
The Doctors Red Beach,"Shop 9, Red Beach Shopping Centre, 42 Red Beach Road Red Beach Auckland 0932",(09) 427 9130,reception@rb.thedoctors.co.nz,Dr Ingemar Charslund; Dr Navya Cherukuri; Dr Nipa Dani; Dr Ivan Lau,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-doctors-red-beach/
Glenfield Medical Centre,452 Glenfield Rd Glenfield Auckland 0629,(09) 444 5911,admin@glenfieldmc.co.nz,Dr Anna Catherwood; Dr Alan Chan; Dr Denise Lucas; Dr Diana Maxwell; Dr Edward McDonald; Dr Lily Partridge; Dr Nausheen Shaikh; Dr Megen Wood,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/glenfield-medical-centre/
Green Cross Clinic,4 Auburn Street Takapuna North Shore City 0622,(09) 486 1001,greencrossclinic@gmail.com,Dr Jeong G. Park,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/green-cross-clinic/
Browns Bay Family Doctors,65 Clyde Road (above the ANZ Bank) Browns Bay Auckland 0630,(09) 479 4834,reception@bbfd.co.nz,Dr Hind Al-Zubaidi; Dr Shashikala Bhuthoji; Dr Martin Hadler; Dr Youngjun Park,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/browns-bay-family-doctors/
Glenfield Family Doctors,571 Glenfield Road Glenfield Auckland 0629,(09) 444 8575,Email not found,Dr Jocelyn Lydford; Dr Victoria Ring; Dr Weiping Yao,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/glenfield-family-doctors/
Warkworth Medical Centre,11 Alnwick Street Warkworth Auckland 0910,(09) 425 1199,admin@kawaubayhealth.co.nz,Dr Kate Baddock; Dr Steve Barker; Dr Matthew Couchman; Dr Andrew Duffin; Dr Jing He; Dr Amy MacBeth; Dr Destinee Macleod; Dr Bruce Sutherland; Dr Simon Tricker,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/warkworth-medical-centre/
Archers Medical Centre,130 Archers Road Glenfield Auckland 0629,(09) 444 9324,reception@archersmc.co.nz,Dr Yudel Gelbart; Dr Wei Jing; Dr Shreeram Mayadeo,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/archers-medical-centre/
Birkenhead Medical Centre,4 Rawene Road Birkenhead Auckland 0626,(09) 419 1636,admin@birkenheadmedical.co.nz,Dr Marshall Donnelly; Dr Teresa Donnelly; Dr Soo Han (Claire); Dr Tony Ryu; Dr Stephen Sohn; Dr Meng-Chin Yen,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/birkenhead-medical-centre/
HealthZone Medical,17 Antares Place Rosedale Auckland 0632,(09) 477 2090,reception@hzmedical.co.nz,Dr Andre George; Dr Linda Munch; Dr Fuma Naito,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/healthzone-medical/
Waiake Medical Centre,1 Hebron Road Waiake Auckland 0630,(09) 478 7660,contact@waiakemedical.co.nz,Dr Andrew Murley; Dr Chris Paltridge; Dr Scarlett Pulham; Dr Michael Uren-Phillips,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/waiake-medical-centre/
Mairangi Medical Centre,2 Penzance Road Mairangi Bay Auckland 0630,(09) 479 5027,enquiries@mmc.gen.nz,Dr Anna Bedbrook; Dr Asima Dervishi; Dr Anna Herriott; Dr Pascal Kethers; Dr John Lee; Dr Francesco Lentini; Dr Nicholas Leydon; Dr Glenda Lowe; Dr Vanessa Ng; Dr Lia uit de Bosch; Dr Faye Welsh; Dr Georgia Yarrow,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/mairangi-medical-centre/
Takapuna Health (formerly Dodson Medical),3 Anzac Street Takapuna Auckland Auckland 0622,(09) 486 5482,admin@takapunahealth.co.nz,Dr Antje Bongartz; Dr Luke Ivancevic; Dr Sue Loughlin; Dr Robert Ni; Dr Paul Stoddart; Dr Isabel Titlow,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/takapuna-health-formerly-dodson-medical/
Ōrewa Medical Centre,8d Tamariki Avenue Ōrewa 0931,(09) 426 5437,reception@orewamedicalcentre.co.nz,Dr Isabel Bordon Quintana; Dr Manuel Campinez Navarro; Dr Aimee England; Dr Valerie Kuan; Dr Reza Mohseni Mofrad; Dr Robert Odlin; Dr Sally Simpson,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/orewa-medical-centre/
All Care Family Medical Centre - Northcote,26 Kawana Street Northcote Kaipātiki Auckland 0627,(09) 419 1267,reception@allcarefamilymedical.com,Dr  Cindy (Xiaopeng) Guo; Dr Rong Ma; Dr Gita Patel; Dr Grant Spence; Dr Annay Xie; Dr Simon (Shuning)  Zhao,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/all-care-family-medical-centre-northcote/
The Doctors Whangaparāoa,651 Whangaparāoa Road Stanmore Bay Hibiscus Coast Auckland 0932,(09) 424 3001,reception@wh.thedoctors.co.nz,Dr Susi Gregson; Dr Clare Hookings; Dr Catherine Ripley,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-doctors-whangaparaoa/
Northcote Point Doctors,73 Onewa Road Northcote Auckland 0627,(09) 480 9309,northcotepointdoctors@gmail.com,Dr Michael Qi-Lin Song,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/northcote-point-doctors/
Whangaparaoa Medical Centre,16 Wade River Road Stanmore Bay Whangaparaoa 0932,(09) 424 8618,wmc14@xtra.co.nz,Dr Cecil Antony; Dr Abinaya Elangovan; Dr Saly Mekhael; Dr Tanja Milovanovic,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/whangaparaoa-medical-centre/
Onewa Doctors,162 Mokoia Road Chatswood Auckland 0626,(09) 418 3832,nurse@onewadoctors.com,Dr Virgilio Beltran; Dr Elvira Nario-Anderson,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/onewa-doctors/
Healthwise Beach Haven,352 Rangatira Road Beach Haven Auckland 0626,(09) 482 0105,help@hwbh.co.nz,Dr Jad Ateia,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/healthwise-beach-haven/
Northpoint Medical Centre,"1A, 40 Library Lane Albany Auckland 0632",(09) 320 4759,reception@northpointmedical.co.nz,Dr Balwin Jassal; Dr Daniel Kim; Dr Maryanne Ting; Dr Mark Wang,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/northpoint-medical-centre/
Weiti Creek Medical,3 Brian Smith Drive Silverdale Auckland 0992,(09) 9729133,support@silverdalemedical.co.nz,Dr Holman Gao; Dr Warren Groarke; Dr Theresa Mittermeier; Dr Evy Shin; Dr Christopher Whittington; Dr Sarah Wiseman,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/weiti-creek-medical/
The Doctors Apollo,Ground Floor Apollo Centre 119 Apollo Drive Rosedale Auckland 0632,(09) 477 3700,admin@apollomedical.co.nz,Dr Farah Alqes Mekhael; Dr Michael Chiang; Dr Lynne Coleman; Dr Esme David; Dr Aloechka Delamaine; Dr Pramod Giri; Dr Chaey Leem; Dr Hanran Liao; Dr Diana North; Dr Toni O'Regan; Dr Tae Park; Dr Kendall Robertson; Dr Angela Su; Dr Siobhan Trevallyan; Dr Chih-Han Tseng; Dr Debra Yeh,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-doctors-apollo/
The Doctors Birkenhead,121 Birkenhead Avenue Birkenhead Auckland 0626,(09) 419 2180,birkenheadoffice@bh.thedoctors.co.nz,Dr Bernardo Aparicio Duarte Brandao; Dr Charlotte Auty; Dr Elizabeth Chesterfield,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/the-doctors-birkenhead/
Devonport Family Medicine,2 Fleet Street Devonport Auckland 0624,(09) 445 0528,receptionist@dfmdoctors.co.nz,Dr Kosar Kheirabi; Dr Nawar Mansoor; Dr Pieter Veenhuijsen,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/devonport-family-medicine/
Byron Medical,2 Byron Avenue Takapuna Auckland 0622,(09) 486 2122,byron@byronmedical.co.nz,Dr Margaret Bryant; Dr Zina Emmanuel; Dr Eman Fadhil; Dr Andrei Postoialkov,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/byron-medical/
Sunset Road Family Doctors,Unit 3 317 Sunset Road Sunnynook Auckland 0632,(09) 478 2878,reception@sunsetrfd.co.nz,Dr Michelle Kweon; Dr Heather Murray; Dr Bacil Otutaha; Dr Michelle Tan,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/sunset-road-family-doctors/
Health-I Care,215 Wairau Road Wairau Valley Auckland 0627,(09) 444 8682,reception@health-icare.co.nz,Dr Thomas Herd; Dr Joanne McGregor; Dr Luke (Jong-Hyun) Park; Dr Scott Prentice; Dr Adrian Wan,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/health-i-care/
Millwater Medical,"Unit 23, 175 Millwater Parkway Silverdale Auckland 0932",(09) 320 0873,Email not found,Dr Peter Chai; Dr Chowool Kim; Dr Daul Kim; Dr Murray Nutsford; Dr Andrew Webster,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/millwater-medical/
Greenhithe Medical Centre,22 Greenhithe Road Greenhithe North Shore,(09) 413 8562,Email not found,Dr Sahar Bahnam; Dr Ashraff Eilyaas,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/greenhithe-medical-centre/
Kowhai Surgery Ltd,10 Percy Street Warkworth Auckland 0910,(09) 425 7358,general@kowhaisurgery.co.nz,Dr Elspeth Dickson; Dr Daniela Duarte E Costa Fernandes; Dr Susanne Krueger; Dr Sophie Lines; Dr Steve Maric; Dr Nicolas Thorburn,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/kowhai-surgery-ltd/
My Doctor Matakana,985 Matakana Road Matakana Auckland 0985,(09) 553 4600,Email not found,Dr Ashwin Patel,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/my-doctor-matakana/
Kitchener Road Medical Centre,Kitchener Road Milford Auckland,(09) 489 4092,reception@krmc.co.nz,Dr Jessica Arcus; Dr Nicholas Buist; Dr Vanessa Fardon; Dr Melissa Hunter; Dr Gareth Roberts; Dr Denise Watt,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/kitchener-road-medical-centre/
MEDPLUS,"Available at 
						    				
												MEDPLUS, 327 Lake Road, Hauraki, Auckland",(09) 489 2011,enquiries@medplus.co.nz,Dr Sean Affonso; Dr Fiona Brow; Dr Matthew Fenton; Dr Michele Hollis; Dr Fiona Kerr; Dr Yvonne Lefort; Dr Alice Lewis; Dr Jean Lim; Dr Inga Minina; Dr Jeong (Jenny) Park; Dr Eleanor Philp; Dr Annie Si; Dr Jack Turner,https://www.healthpoint.co.nz/gps-accident-urgent-medical-care/gp/medplus/
