text,read_code,read_term
Toxic effect of secondary tobacco exposure,SMC..,Toxic effect of tobacco and nicotine
Antifreeze poisoning,T901.,Accidental poisoning by other ethyl alcohol and its products
Ink causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Brick cleaner causing toxic effect,SM96.,Soap and detergent causing toxic effect
Dishwashing liquid causing toxic effect,SM96.,Soap and detergent causing toxic effect
Dinitro compound toxicity,SM98.,Toxic effect of herbicides and fungicides
Plant food causing toxic effect,T9354,Accidental poisoning by mixtures herbicides+plant food etc
Adhesive stick causing toxic effect,T966.,Accidental poisoning by glues and adhesives
Methane/propane poisoning,T9802,Accidental poisoning by propane
Oxalate poisoning,SyuGD,[X]Toxic effect of oth specif noxious subst eaten as food
Toilet cleaner causing toxic effect,SM96.,Soap and detergent causing toxic effect
Radiopharmaceutical poisoning,SN0..,"Radiation effects, unspecified"
Metal polish causing toxic effect,T912.,Accidental poisoning by polishes
Hydrogen sulphide poisoning,T99y.,Accidental poisoning by other gases and vapours OS
Poisoning by phenolic,SM300,Phenol causing toxic effect
Sealant causing toxic effect,T966.,Accidental poisoning by glues and adhesives
Toxic effect of naphthalene,T9202,Accidental poisoning by petroleum naphtha
Shoe polish causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Shoe care product causing toxic effect,SMX..,"Toxic effect of paints and dyes, NEC"
Chlorate poisoning,T9352,Accidental poisoning by chlorates
Fabric cleaner causing toxic effect,SM96.,Soap and detergent causing toxic effect
Poisoning by silicone,SyuG6,[X]Toxic effect of other specified inorganic substances
Poisoning by hydrogen peroxide,T94..,Accidental poisoning by corrosives and caustics NEC
Borax toxicity,SyuG6,[X]Toxic effect of other specified inorganic substances
Borate toxicity,SyuG6,[X]Toxic effect of other specified inorganic substances
Nitrogen mustard derivative poisoning,SM7y0,Phosgene causing toxic effect
Hematopoietic subsyndrome of acute radiation syndrome,SN00.,Radiation sickness
Hypothermia due to cold environment,SN16.,Hypothermia - accidental
Hypothermia due to exposure,SN16.,Hypothermia - accidental
Chronic mountain sickness,SN320,"Mountain sickness, unspecified"
Subacute mountain sickness,SN320,"Mountain sickness, unspecified"
Anoxia due to high altitude,SN320,"Mountain sickness, unspecified"
Spinal cord decompression injury,SN333,Decompression sickness type II
Barotrauma of ascent,SN3..,Effects of air pressure
Visceral decompression injury,SN3..,Effects of air pressure
Immersion hypothermia,SN16.,Hypothermia - accidental
Acute allergic reaction,SN530,Allergic reaction
Atopic reaction,SN53.,"Allergy, unspecified"
Malathion adverse reaction,SM932,Malathion causing toxic effect
Terpenes adverse reaction,T954.,Accidental poisoning from other plants
Pyrethroid pesticides adverse reaction,SM94.,Other pesticides causing toxic effect NEC
Anaphylactoid reaction,SN50.,Anaphylactic shock
Permethrin adverse reaction,SM94.,Other pesticides causing toxic effect NEC
Pseudoallergic reaction,SN530,Allergic reaction
Type 1 hypersensitivity response,SN530,Allergic reaction
Intravenous nutrition (fats) adverse reaction,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Intravenous nutrition (ready mixed) adverse reaction,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Anaphylactoid reaction to radiocontrast media,SN50.,Anaphylactic shock
"Anaphylactoid reaction, iatrogenic",SN50.,Anaphylactic shock
Allergy to scorpion venom,SN59.,Allergic reaction to venom
Allergy to bee venom,SN590,Allergic reaction to bee sting
Victim of child sexual abuse,SN571,Sexual abuse
Adult victim of sexual abuse,SN571,Sexual abuse
Child victim of physical abuse,SN552,Non-accidental injury to child
Inflammation associated with retained intrauterine contraceptive device,SyuKA,[X]Other complics of genitourin prosth device/implant/graft
Complication associated with vascular device,SyuK7,[X]Unspecif complic of card/vasc prosth device/impl/graft
Postoperative seroma,SyuK.,"[X]Complications of surgical and medical care, NEC"
Inflammation associated with vascular implant,SyuK5,[X]Infect/inflam react due oth card/vasc device/impl/grafts
Inflammation associated with indwelling urinary catheter,SyuKA,[X]Other complics of genitourin prosth device/implant/graft
Complication of internal device,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Embolization of vascular device fragment during cardiac catheterization,SyuK7,[X]Unspecif complic of card/vasc prosth device/impl/graft
Complication associated with peripherally inserted central catheter,SyuK7,[X]Unspecif complic of card/vasc prosth device/impl/graft
Inflammation associated with device,SyuKH,[X]Infec & inflam react due oth int prosth device/imp/graft
Inflammation associated with vascular device,SyuK5,[X]Infect/inflam react due oth card/vasc device/impl/grafts
Post-splenectomy leucocytosis,SyuK.,"[X]Complications of surgical and medical care, NEC"
Inflammation associated with implant,SyuKH,[X]Infec & inflam react due oth int prosth device/imp/graft
Inflammation associated with neurological device,SyuKH,[X]Infec & inflam react due oth int prosth device/imp/graft
Complication associated with orthopaedic device,SyuKE,[X]Oth complics intern orthopaed prosth devices/impl/grafts
Complication associated with vagal nerve stimulator,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Post-splenectomy thrombocytosis,SyuK.,"[X]Complications of surgical and medical care, NEC"
Complication of electronic internal device,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Inflammation associated with cardiac implant,SyuK5,[X]Infect/inflam react due oth card/vasc device/impl/grafts
Complication associated with neurological device,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Inflammation associated with internal fixation device,SyuKD,[X]Infect & infl react due oth int orth pros dev/impl/graft
Complication associated with musculoskeletal implant,SyuKE,[X]Oth complics intern orthopaed prosth devices/impl/grafts
Complication after wiring of sternum,SyuKE,[X]Oth complics intern orthopaed prosth devices/impl/grafts
Postoperative fistula,SyuK.,"[X]Complications of surgical and medical care, NEC"
Complication associated with genitourinary device,SyuKA,[X]Other complics of genitourin prosth device/implant/graft
Complication associated with device,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Retained ureteric stent,SyuKA,[X]Other complics of genitourin prosth device/implant/graft
Complication associated with cardiac implant,SyuK7,[X]Unspecif complic of card/vasc prosth device/impl/graft
Postoperative stricture,SyuK.,"[X]Complications of surgical and medical care, NEC"
Complication associated with dialysis catheter,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Complication associated with nervous system implant,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Inflammation associated with musculoskeletal implant,SyuKD,[X]Infect & infl react due oth int orth pros dev/impl/graft
Complication associated with vascular implant,SyuK7,[X]Unspecif complic of card/vasc prosth device/impl/graft
Inflammation associated with genitourinary device,SyuKA,[X]Other complics of genitourin prosth device/implant/graft
Complication associated with insulin pump,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Complication of catheter,SP0..,Complications of certain procedures
Bypass complications,SP0..,Complications of certain procedures
Complication of internal anastomosis,SP0..,Complications of certain procedures
Injection site extravasation,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Complication of intravascular line,SP32.,Other medical care vascular complications
Poor drainage of peritoneal dialysis catheter,SP015,Mechanical complication of dialysis catheter
Complication of dialysis,SP015,Mechanical complication of dialysis catheter
Extravasation of intravenous contrast medium,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site mass,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Allergic sensitization by patch test,SP3X.,Unspecified adverse effect of drug or medicament
Complication of peritoneal dialysis,SP015,Mechanical complication of dialysis catheter
Complication of electroshock therapy,SP3y0,Electroshock therapy complication NEC
Injection site malabsorption,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site paraesthesia,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Complication of extracorporeal circulation,SP32.,Other medical care vascular complications
Complication of perfusion,SP3..,Medical care complication NEC
Complication due to vaccination,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Bloodstained peritoneal dialysis effluent,SP015,Mechanical complication of dialysis catheter
Matrix stone formation of dialysis,SP15.,Urinary complications of care
Injection site thrombosis,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site anaesthesia,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Complication due to immunisation,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Complication of artificial skin graft and decellularized allodermis,SP0C0,Skin graft failure
Disorder of peritoneal dialysis catheter,SP015,Mechanical complication of dialysis catheter
Complication of respiratory therapy procedure,SP13.,Respiratory complications of care
Injection site inflammation,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site hypersensitivity,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site disorder,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Complication of infusion,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site burning,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site reaction,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site fibrosis,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Omental wrapping around peritoneal dialysis catheter,SP015,Mechanical complication of dialysis catheter
Complication of ventilation therapy,SP3y3,Ventilation therapy complication NEC
Complication of smallpox vaccination,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Peritoneal dialysis leakage,SP015,Mechanical complication of dialysis catheter
Injection site pigmentation change,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Complication of ultrasound therapy,SP3y2,Ultrasound therapy complication NEC
Injection site irritation,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Injection site atrophy,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Acute disorder of haemodialysis,SyuK1,"[X]Oth complic follow infusion, transfusion & therapeut inj"
Mechanical complication of intra-aortic balloon device,SP01.,Mechanical complication other vascular device/implant/graft
Pacemaker pulse generator failure,SP001,Mechanical complication of cardiac pacemaker
Disorder of pacing function,SP001,Mechanical complication of cardiac pacemaker
Malfunction of cardiac pacemaker,SP001,Mechanical complication of cardiac pacemaker
Failure of cardiac pacemaker to capture,SP001,Mechanical complication of cardiac pacemaker
Complication associated with cardiac pacemaker lead,SP001,Mechanical complication of cardiac pacemaker
Oversensing cardiac pacemaker,SP001,Mechanical complication of cardiac pacemaker
Cardiac pacemaker sensitivity problem,SP001,Mechanical complication of cardiac pacemaker
Undersensing cardiac pacemaker,SP001,Mechanical complication of cardiac pacemaker
Malfunction of biventricular cardiac pacemaker,SP001,Mechanical complication of cardiac pacemaker
Disorder of cardiac pacemaker system,SP001,Mechanical complication of cardiac pacemaker
Disorder of cardiac pacemaker electrode,SP001,Mechanical complication of cardiac pacemaker
Cardiac pacemaker myoinhibition,SP001,Mechanical complication of cardiac pacemaker
Cardiac pacemaker electrical interference,SP001,Mechanical complication of cardiac pacemaker
Malfunction of biventricular cardiac pacemaker battery,SP001,Mechanical complication of cardiac pacemaker
Pacemaker electrode lead fracture,SP001,Mechanical complication of cardiac pacemaker
Cardiac pacemaker syndrome,SP001,Mechanical complication of cardiac pacemaker
Pacemaker electrode lead displacement,SP001,Mechanical complication of cardiac pacemaker
Pacemaker re-entrant tachycardia,SP001,Mechanical complication of cardiac pacemaker
Disorder of pacemaker pulse generator,SP001,Mechanical complication of cardiac pacemaker
Runaway cardiac pacemaker,SP001,Mechanical complication of cardiac pacemaker
Disorder of cardiovascular prostheses and implants,SP00.,"Mechanical complication of cardiac device, implant and graft"
Cross-talk in dual chamber cardiac pacemaker,SP001,Mechanical complication of cardiac pacemaker
Pacemaker battery depletion,SP001,Mechanical complication of cardiac pacemaker
Disorders of prostheses and implants of the nervous system,SP02.,Mechanical complication nervous system device/implant/graft
Mechanical complication due to prosthetic reconstruction of vas deferens,SP034,Mechanical complic prosthetic reconstruction vas deferens
Disorder of prosthetic reconstruction of vas deferens,SP034,Mechanical complic prosthetic reconstruction vas deferens
Mechanical complication of suprapubic catheter,SP03.,Mechanical complication genito-urinary device/implant/graft
Blocked catheter,SP03.,Mechanical complication genito-urinary device/implant/graft
Uterine perforation by uterine sound,SP03.,Mechanical complication genito-urinary device/implant/graft
Displacement of nephrostomy tube,SP03.,Mechanical complication genito-urinary device/implant/graft
Mechanical complication of genitourinary device,SP03.,Mechanical complication genito-urinary device/implant/graft
Prosthetic joint protrusion,SP04.,Mechanical complication of internal orthopaedic device
Prosthetic joint exposure,SP04.,Mechanical complication of internal orthopaedic device
Prosthetic joint loosening,SP048,Loosening of prosthesis
Breakage of joint prosthesis,SP04.,Mechanical complication of internal orthopaedic device
Loosening of hip joint prosthesis,SP048,Loosening of prosthesis
Displacement of orthopedic device,SP04.,Mechanical complication of internal orthopaedic device
Loosening of musculoskeletal implant,SP04.,Mechanical complication of internal orthopaedic device
Migration of Tenckhoff catheter,SP015,Mechanical complication of dialysis catheter
Displacement of musculoskeletal implant,SP04.,Mechanical complication of internal orthopaedic device
Mechanical complication due to cardiac pacemaker electrode,SP001,Mechanical complication of cardiac pacemaker
Mechanical complication of musculoskeletal implant,SP04.,Mechanical complication of internal orthopaedic device
Migration of central venous catheter,SP01.,Mechanical complication other vascular device/implant/graft
Mechanical complication of internal orthopedic device,SP04.,Mechanical complication of internal orthopaedic device
Mechanical complication associated with orthopaedic device,SP04.,Mechanical complication of internal orthopaedic device
Perforation of cardiac device,SP00.,"Mechanical complication of cardiac device, implant and graft"
Mechanical complication of vascular device,SP01.,Mechanical complication other vascular device/implant/graft
Mechanical complication of central nervous system device,SP02.,Mechanical complication nervous system device/implant/graft
Mechanical obstruction of cardiac device,SP00.,"Mechanical complication of cardiac device, implant and graft"
Mechanical complication of implant,SP0..,Complications of certain procedures
Detachment of line from totally implantable venous access device hub,SP01.,Mechanical complication other vascular device/implant/graft
Mechanical complication of nervous system device,SP02.,Mechanical complication nervous system device/implant/graft
Migration of nasogastric tube,SP058,Mechanical complication of gastrointestinal prosthet device
Loosening of orthopaedic device,SP04.,Mechanical complication of internal orthopaedic device
Obstruction of totally implantable venous access device,SP01.,Mechanical complication other vascular device/implant/graft
Migration of percutaneous transhepatic biliary drain catheter,SP051,Mechanical complication of bile duct prosthesis
Pacemaker electrode displacement,SP001,Mechanical complication of cardiac pacemaker
Mechanical complication of cardiovascular device,SP00.,"Mechanical complication of cardiac device, implant and graft"
Mechanical breakdown of cardiac device,SP00.,"Mechanical complication of cardiac device, implant and graft"
Breakage of musculoskeletal implant,SP04.,Mechanical complication of internal orthopaedic device
Misplacement of haemodialysis catheter,SP015,Mechanical complication of dialysis catheter
Mechanical complication of cardiac implant,SP00.,"Mechanical complication of cardiac device, implant and graft"
Mechanical complication of venous catheter,SP01.,Mechanical complication other vascular device/implant/graft
Mechanical complication of vascular implant,SP01.,Mechanical complication other vascular device/implant/graft
Obstruction of nasogastric tube,SP058,Mechanical complication of gastrointestinal prosthet device
Protrusion of musculoskeletal implant,SP04.,Mechanical complication of internal orthopaedic device
Mechanical complication of nervous system implant,SP02.,Mechanical complication nervous system device/implant/graft
Mechanical complication of carotid artery bypass graft,SP012,Mechanical complication of carotid artery bypass
Complication of artificial skin graft,SP0C0,Skin graft failure
Complication of bypass graft,SP01.,Mechanical complication other vascular device/implant/graft
"Fibrosis due to any device, implant AND/OR graft",SP071,Internal prosthetic device causing fibrosis
Loosening of dental implant screw,SP05.,Mechanical complication of other prosthetic device
Disorder of dental prosthesis,SP05.,Mechanical complication of other prosthetic device
Drug implant site reaction,SP07.,Other complications internal prosthetic device/implant/graft
Implant site reaction,SP07.,Other complications internal prosthetic device/implant/graft
Drug implant site rejection,SP07.,Other complications internal prosthetic device/implant/graft
Complication of implant,SP07.,Other complications internal prosthetic device/implant/graft
Complication of intraocular lens implant,SP055,Mechanical complication of intraocular lens
Complication of reattached extremity AND/OR body part,SP09.,Reattached extremity complications
Complication of reattached upper extremity,SP0A0,Partial failure replanted upper limb
Complication of reattached forearm,SP0A1,Partial failure replanted forearm
Reattached thumb complication,SP0A4,Partial failure replanted thumb
Reattached toe complication,SP0A9,Partial failure replanted toe
Dehiscence of internal surgical wound,SP230,Operation wound dehiscence
Dehiscence of laparotomy wound,SP230,Operation wound dehiscence
Dehiscence of surgical wound,SP230,Operation wound dehiscence
Dehiscence of external surgical incision wound,SP230,Operation wound dehiscence
Dehiscence of appendicectomy wound,SP230,Operation wound dehiscence
Postoperative infection of thyroidectomy wound,SP25.,Postoperative infection
Postoperative wound infection,SP25.,Postoperative infection
Postoperative complication,SP2..,Other procedure complication NEC
Transfusion reaction due to serum protein reaction,SP351,Protein serum sickness
Transfusion reaction due to leukagglutinin,SP351,Protein serum sickness
Transfusion reaction due to anti B,SP36.,ABO incompatibility reaction
Transfusion reaction due to anti A,SP36.,ABO incompatibility reaction
Transfusion reaction due to air embolism,SP310,Air embolism complicating intravenous therapy
Mechanical complication of internal fixation device,SP04.,Mechanical complication of internal orthopaedic device
Loosening of internal fixation device,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Protrusion of internal fixation device,SyuKJ,"[X]Other complics of intern prosth device/impl/grafts, NEC"
Radiation sickness,SN00.,Radiation sickness
Toxicity due to radiotherapy,SN01.,Radiation therapy complication
Radiation therapy complication,SN01.,Radiation therapy complication
Phototherapy complication,SN02.,Phototherapy complication
Cold injury,SN1..,Effects of reduced temperature
Effects of heat AND/OR light,SN2..,Effects of heat and light
Effects of air pressure,SN3..,Effects of air pressure
Effect of high altitude on sinuses,SN31.,"Barotrauma, sinuses"
Descent barotrauma of sinuses,SN31.,"Barotrauma, sinuses"
Effects of high altitude,SN32.,Other and unspecified high altitude effects
Andes disease,SN322,Andes disease
Bends,SN33.,Caisson disease
Decompression sickness type I,SN332,Decompression sickness type I
Decompression sickness type II,SN333,Decompression sickness type II
Nitrogen narcosis,SN33z,Compressed-air disease NOS
Effects of air pressure caused by explosion,SN34.,Explosion causing air pressure effects
Injury from underwater blast,SN34.,Explosion causing air pressure effects
Refeeding syndrome,SN42.,Effects of hunger
Inanition due to lack of food,SN42.,Effects of hunger
Effects of hunger,SN42.,Effects of hunger
Deprivation of food,SN420,"Deprivation of food, unspecified"
Semi-starvation,SN421,Starvation
Starvation,SN421,Starvation
Effects of thirst,SN43.,Effects of thirst
Deprivation of water,SN430,Deprivation of water
Exhaustion due to exposure,SN44.,Exhaustion due to exposure
Exhaustion due to excessive exertion,SN45.,Excessive exertion exhaustion
Train sickness,SN46.,Motion sickness
Motion sickness,SN46.,Motion sickness
Car sickness,SN460,"Travel sickness, unspecified"
Outer space sickness,SN461,Air sickness
Air sickness,SN461,Air sickness
Sea sickness,SN462,Seasickness
Asphyxia by strangulation,SN47.,Asphyxiation and strangulation
Asphyxiation,SN470,"Suffocation, unspecified"
Suffocation by bedclothes,SN472,Suffocation by bedclothes
Suffocation by mechanical cause,SN474,Suffocation by mechanical cause
Suffocation by plastic bag,SN475,Suffocation by plastic bag
Suffocation by pressure,SN476,Suffocation by pressure
Non-fatal electric shock,SN480,"Electric current shock, unspecified"
Injury due to electrical exposure,SN480,"Electric current shock, unspecified"
Non-fatal electric current effects,SN481,Nonfatal electric current effects
Death by electrocution,SN482,Electrocution
Effects of high-pressure fluids,SN49.,Effects of high-pressure fluids
Effects of vibration,SN4A.,Effects of vibration
Effects of centrifugal force,SN4y0,Abnormal gravitational state
Syncope due to centrifugal force in flying,SN4y0,Abnormal gravitational state
Injury caused by abnormal gravitational state,SN4y0,Abnormal gravitational state
Adverse cutaneous reaction to acupuncture,SN5..,Adverse effects NEC
Base adverse reaction,SN5..,Adverse effects NEC
Adverse reaction,SN5..,Adverse effects NEC
Hypersensitivity reaction,SN5..,Adverse effects NEC
Adverse reaction to fatty acid,SN5..,Adverse effects NEC
Oral rehydration salts adverse reaction,SN5..,Adverse effects NEC
Undecenoate adverse reaction,SN5..,Adverse effects NEC
Phenothrin adverse reaction,SN5..,Adverse effects NEC
Hypersensitivity reaction without blocking antibody,SN5..,Adverse effects NEC
Non-ionic surfactant adverse reaction,SN5..,Adverse effects NEC
Dimethicone adverse reaction,SN5..,Adverse effects NEC
Silicone adverse reaction,SN5..,Adverse effects NEC
Paraffin-white soft adverse reaction,SN5..,Adverse effects NEC
Carbamate pesticide adverse reaction,SN5..,Adverse effects NEC
Idiopathic anaphylaxis,SN50.,Anaphylactic shock
Localised anaphylaxis,SN50.,Anaphylactic shock
Exercise anaphylaxis,SN50.,Anaphylactic shock
Anaphylaxis,SN50.,Anaphylactic shock
Anaphylaxis due to seed,SN500,Anaphylactic shock due to adverse food reaction
Anaphylaxis due to vegetable,SN500,Anaphylactic shock due to adverse food reaction
Anaphylaxis due to mollusk,SN500,Anaphylactic shock due to adverse food reaction
Anaphylaxis due to tree nut,SN500,Anaphylactic shock due to adverse food reaction
Anaphylaxis due to fish,SN500,Anaphylactic shock due to adverse food reaction
Anaphylaxis due to ingested food,SN500,Anaphylactic shock due to adverse food reaction
Egg white-induced anaphylaxis,SN500,Anaphylactic shock due to adverse food reaction
Anaphylaxis due to shellfish,SN500,Anaphylactic shock due to adverse food reaction
Peanut-induced anaphylaxis,SN500,Anaphylactic shock due to adverse food reaction
Food anaphylaxis,SN500,Anaphylactic shock due to adverse food reaction
Anaphylaxis due to fruit,SN500,Anaphylactic shock due to adverse food reaction
Seafood-induced anaphylaxis,SN500,Anaphylactic shock due to adverse food reaction
"Anaphylactic shock, due to adverse effect of correct medicinal substance properly administered",SN501,Anaphy shock due/adv efect/correct drug or med proprly admin
Episodic angio-oedema with eosinophilia,SN51.,Angioneurotic oedema
Venom-induced angio-oedema-urticaria,SN51.,Angioneurotic oedema
Acquired angio-oedema due to C1 inhibitor autoantibody,SN51.,Angioneurotic oedema
Angio-oedema due to disorder of kinin metabolism,SN51.,Angioneurotic oedema
Angio-oedema due to angiotensin-converting-enzyme inhibitor,SN51.,Angioneurotic oedema
Autoimmune angio-oedema,SN51.,Angioneurotic oedema
Allergic angioedema due to ingested food,SN51.,Angioneurotic oedema
Vibratory angioedema,SN51.,Angioneurotic oedema
Allergic angio-oedema,SN51.,Angioneurotic oedema
Angioedema of tongue,SN51.,Angioneurotic oedema
Food-induced angioedema-urticaria,SN51.,Angioneurotic oedema
Angio-oedema,SN51.,Angioneurotic oedema
Angioedema of lips,SN51.,Angioneurotic oedema
Atopy,SN53.,"Allergy, unspecified"
Allergy to adhesive agent,SN53.,"Allergy, unspecified"
Allergic disposition,SN53.,"Allergy, unspecified"
Allergy to penicillin,SN53.,"Allergy, unspecified"
Allergy to wool,SN53.,"Allergy, unspecified"
Allergic condition,SN53.,"Allergy, unspecified"
Allergy to cosmetic material,SN53.,"Allergy, unspecified"
Allergy to latex,SN53.,"Allergy, unspecified"
Allergic reaction to tattoo ink,SN530,Allergic reaction
Allergic reaction to substance,SN530,Allergic reaction
Allergic reaction to chemical,SN530,Allergic reaction
Allergic reaction to adhesive,SN530,Allergic reaction
Allergic reaction to radiocontrast media,SN530,Allergic reaction
Allergic reaction,SN530,Allergic reaction
Allergic reaction to detergent,SN530,Allergic reaction
Allergy to biocide in cosmetic,SN530,Allergic reaction
Allergic reaction to platinum,SN530,Allergic reaction
Allergic reaction to cosmetics,SN530,Allergic reaction
Allergic reaction to hair dye,SN530,Allergic reaction
Allergic reaction to oil,SN530,Allergic reaction
Anesthetic shock - sensitivity,SN54.,Shock due to anaesthesia
Shock due to anesthesia,SN54.,Shock due to anaesthesia
Child victim of maltreatment,SN55.,Child maltreatment syndrome
Emotional abuse of child,SN550,Emotional maltreatment of child
Malnutrition due to child maltreatment,SN551,Nutritional maltreatment of child
Nutritional maltreatment of child,SN551,Nutritional maltreatment of child
Victim of child abuse,SN552,Non-accidental injury to child
Child victim of psychological or emotional abuse,SN552,Non-accidental injury to child
Child affected by Munchausen's by proxy,SN552,Non-accidental injury to child
Shaken baby syndrome,SN552,Non-accidental injury to child
Non-accidental injury to child,SN552,Non-accidental injury to child
Battered baby AND/OR child syndrome,SN553,Battered baby or child syndrome NOS
Battered baby,SN553,Battered baby or child syndrome NOS
Multiple deprivation of child,SN554,Multiple deprivation of child
Child deprivation syndrome,SN55z,Child maltreatment syndrome NOS
Adult victim of emotional abuse,SN56.,Adult maltreatment syndrome
Psychologically abused elder,SN56.,Adult maltreatment syndrome
